KalenderAar;TildeltKvoteRapportert;KvotepliktigUtslipp;StandardEnhet;GrunnlagVerdi;IR;
2014;16943412,0000000000;24230806,0000000000;tonn;;false;
2015;16633495,0000000000;24920608,0000000000;tonn;;false;
2016;16680791,0000000000;24275206,0000000000;tonn;;false;
2017;15822276,0000000000;24433392,0000000000;tonn;;false;
2018;15771352,0000000000;24222657,0000000000;tonn;;false;
2019;15699920,0000000000;23639410,0000000000;tonn;;false;
2020;15444548,0000000000;22709095,0000000000;tonn;;false;
2021;10708812,0000000000;21186424,0000000000;tonn;;false;
2022;11649901,0000000000;22279066,0000000000;tonn;;false;
2023;11583158,0000000000;21283437,0000000000;tonn;;false;
